"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"2",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-1"
"3",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+1"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+4"
"8",2,"Justin Jefferson",MIN,"WR6","6","","","5 out of 5 stars","+4"
"9",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-4"
"10",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-3"
"11",2,"Drake London",ATL,"WR7","11","","","3 out of 5 stars","+8"
"12",3,"A.J. Brown",NE,"WR8","11","","","2 out of 5 stars","+8"
"13",3,"Nico Collins",HOU,"WR9","8","","","3 out of 5 stars","+12"
"14",3,"James Cook III",BUF,"RB5","7","5 out of 5","2 out of 5","2 out of 5 stars","-5"
"15",3,"Brock Bowers",LV,"TE1","13","5 out of 5","2 out of 5","3 out of 5 stars","+7"
"16",3,"Chase Brown",CIN,"RB6","6","","","2 out of 5 stars","-1"
"17",3,"Chris Olave",NO,"WR10","8","","","3 out of 5 stars","+10"
"18",3,"George Pickens",DAL,"WR11","14","","","2 out of 5 stars","+6"
"19",3,"De'Von Achane",MIA,"RB7","6","","","3 out of 5 stars","-9"
"20",3,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","2 out of 5 stars","+1"
"21",3,"Rashee Rice",KC,"WR12","5","","","2 out of 5 stars","+5"
"22",4,"DeVonta Smith",PHI,"WR13","10","","","4 out of 5 stars","+12"
"23",4,"Saquon Barkley",PHI,"RB8","10","","","4 out of 5 stars","-9"
"24",4,"Malik Nabers",NYG,"WR14","8","","","4 out of 5 stars","+5"
"25",4,"Omarion Hampton",LAC,"RB9","7","","","3 out of 5 stars","-8"
"26",4,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","-3"
"",4
"27",4,"Kenneth Walker III",KC,"RB10","5","","","3 out of 5 stars","-9"
"28",4,"Ashton Jeanty",LV,"RB11","13","","","2 out of 5 stars","-15"
"29",4,"Garrett Wilson",NYJ,"WR15","13","","","4 out of 5 stars","+11"
"30",4,"Zay Flowers",BAL,"WR16","13","","","4 out of 5 stars","+5"
"31",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","3 out of 5","3 out of 5 stars","+10"
"32",4,"Tetairoa McMillan",CAR,"WR17","5","","","2 out of 5 stars","+5"
"33",4,"Ladd McConkey",LAC,"WR18","7","","","2 out of 5 stars","+11"
"34",4,"Jaylen Waddle",DEN,"WR19","10","","","2 out of 5 stars","+14"
"35",4,"Tee Higgins",CIN,"WR20","6","","","4 out of 5 stars","+7"
"36",5,"Derrick Henry",BAL,"RB12","13","","","3 out of 5 stars","-20"
"37",5,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+16"
"38",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+5"
"39",5,"Breece Hall",NYJ,"RB13","13","","","3 out of 5 stars","-6"
"40",5,"Emeka Egbuka",TB,"WR21","10","","","4 out of 5 stars","-1"
"41",5,"Jeremiyah Love",ARI,"RB14","14","","","2 out of 5 stars","-13"
"42",5,"Kyren Williams",LAR,"RB15","11","","","5 out of 5 stars","-12"
"43",5,"Josh Jacobs",GB,"RB16","11","","","4 out of 5 stars","-11"
"44",5,"Javonte Williams",DAL,"RB17","14","","","4 out of 5 stars","-13"
"45",5,"Terry McLaurin",WAS,"WR22","7","","","2 out of 5 stars","+9"
"46",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"47",5,"Luther Burden III",CHI,"WR23","10","","","3 out of 5 stars","+9"
"48",5,"Travis Etienne Jr.",NO,"RB18","8","","","3 out of 5 stars","-10"
"49",5,"Davante Adams",LAR,"WR24","11","","","1 out of 5 stars","0"
"50",5,"DJ Moore",BUF,"WR25","7","","","4 out of 5 stars","+1"
"51",5,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+11"
"52",6,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","0"
"53",6,"Mike Evans",SF,"WR26","8","","","2 out of 5 stars","+11"
"54",6,"Jameson Williams",DET,"WR27","6","","","4 out of 5 stars","+5"
"55",6,"D'Andre Swift",CHI,"RB19","10","","","2 out of 5 stars","-8"
"56",6,"Rome Odunze",CHI,"WR28","10","","","3 out of 5 stars","+5"
"57",6,"Cam Skattebo",NYG,"RB20","8","","","4 out of 5 stars","-21"
"58",6,"Jalen Hurts",PHI,"QB6","10","","","5 out of 5 stars","+5"
"59",6,"Christian Watson",GB,"WR29","11","","","5 out of 5 stars","+7"
"60",6,"Bucky Irving",TB,"RB21","10","","","2 out of 5 stars","-15"
"61",6,"David Montgomery",HOU,"RB22","8","","","4 out of 5 stars","-11"
"62",6,"Quinshon Judkins",CLE,"RB23","11","","","3 out of 5 stars","-16"
"63",6,"Parker Washington",JAC,"WR30","7","","","4 out of 5 stars","+8"
"64",6,"Carnell Tate",TEN,"WR31","9","","","3 out of 5 stars","+8"
"65",6,"Bhayshul Tuten",JAC,"RB24","7","","","4 out of 5 stars","-7"
"66",6,"Caleb Williams",CHI,"QB7","10","","","3 out of 5 stars","+10"
"67",6,"Marvin Harrison Jr.",ARI,"WR32","14","","","2 out of 5 stars","+6"
"68",6,"TreVeyon Henderson",NE,"RB25","11","","","2 out of 5 stars","-11"
"69",6,"Justin Herbert",LAC,"QB8","7","","","2 out of 5 stars","+17"
"70",6,"Jadarian Price",SEA,"RB26","11","","","4 out of 5 stars","-10"
"71",6,"Harold Fannin Jr.",CLE,"TE5","11","4 out of 5","3 out of 5","3 out of 5 stars","-6"
"72",7,"Tucker Kraft",GB,"TE6","11","","","2 out of 5 stars","-4"
"73",7,"Chris Godwin Jr.",TB,"WR33","10","","","4 out of 5 stars","+22"
"74",7,"Jaylen Warren",PIT,"RB27","9","","","2 out of 5 stars","-5"
"75",7,"Trevor Lawrence",JAC,"QB9","7","","","4 out of 5 stars","+9"
"76",7,"Dak Prescott",DAL,"QB10","14","","","2 out of 5 stars","-2"
"77",7,"Brian Thomas Jr.",JAC,"WR34","7","","","4 out of 5 stars","+1"
"78",7,"Rhamondre Stevenson",NE,"RB28","11","","","2 out of 5 stars","-3"
"79",7,"DK Metcalf",PIT,"WR35","9","","","3 out of 5 stars","+1"
"80",7,"Michael Pittman Jr.",PIT,"WR36","9","","","3 out of 5 stars","+13"
"81",7,"Kyle Pitts Sr.",ATL,"TE7","11","","","3 out of 5 stars","-14"
"82",7,"Courtland Sutton",DEN,"WR37","10","","","2 out of 5 stars","-5"
"83",7,"Tony Pollard",TEN,"RB29","9","","","3 out of 5 stars","-2"
"84",7,"Sam LaPorta",DET,"TE8","6","","","3 out of 5 stars","-14"
"85",7,"Wan'Dale Robinson",TEN,"WR38","9","","","3 out of 5 stars","+11"
"86",7,"Josh Downs",IND,"WR39","13","","","4 out of 5 stars","+26"
"87",7,"Michael Wilson",ARI,"WR40","14","","","2 out of 5 stars","-2"
"88",7,"Rico Dowdle",PIT,"RB30","9","","","2 out of 5 stars","-9"
"89",7,"Jonathon Brooks",CAR,"RB31","5","","","1 out of 5 stars","-7"
"90",7,"RJ Harvey",DEN,"RB32","10","","","2 out of 5 stars","-7"
"",7
"91",7,"Brock Purdy",SF,"QB11","8","","","1 out of 5 stars","+19"
"92",7,"Stefon Diggs",WAS,"WR41","7","","","2 out of 5 stars","+11"
"93",7,"Quentin Johnston",LAC,"WR42","7","","","2 out of 5 stars","+14"
"94",7,"Jaxson Dart",NYG,"QB12","8","","","4 out of 5 stars","-3"
"95",7,"Travis Kelce",KC,"TE9","5","","","4 out of 5 stars","-1"
"96",7,"Chuba Hubbard",CAR,"RB33","5","","","1 out of 5 stars","-8"
"97",7,"George Kittle",SF,"TE10","8","","","3 out of 5 stars","-7"
"98",7,"J.K. Dobbins",DEN,"RB34","10","","","2 out of 5 stars","-11"
"99",7,"Alec Pierce",IND,"WR43","13","","","4 out of 5 stars","-7"
"100",8,"Kenny Gainwell",TB,"RB35","10","","","2 out of 5 stars","-1"
"101",8,"Patrick Mahomes II",KC,"QB13","5","","","2 out of 5 stars","0"
"102",8,"Bo Nix",DEN,"QB14","10","","","3 out of 5 stars","+6"
"103",8,"Jakobi Meyers",JAC,"WR44","7","","","4 out of 5 stars","+11"
"104",8,"Matthew Stafford",LAR,"QB15","11","","","3 out of 5 stars","-15"
"105",8,"Jayden Reed",GB,"WR45","11","","","5 out of 5 stars","+14"
"106",8,"Jordan Addison",MIN,"WR46","6","","","5 out of 5 stars","-1"
"107",8,"Jared Goff",DET,"QB16","6","","","5 out of 5 stars","+16"
"108",8,"Rachaad White",WAS,"RB36","7","","","4 out of 5 stars","+10"
"109",8,"Makai Lemon",PHI,"WR47","10","","","4 out of 5 stars","+8"
"110",8,"Blake Corum",LAR,"RB37","11","","","5 out of 5 stars","-8"
"111",8,"Dalton Kincaid",BUF,"TE11","7","","","3 out of 5 stars","+10"
"112",8,"Kyler Murray",MIN,"QB17","6","","","5 out of 5 stars","+26"
"113",8,"Aaron Jones Sr.",MIN,"RB38","6","","","4 out of 5 stars","+7"
"114",8,"Jacory Croskey-Merritt",WAS,"RB39","7","","","4 out of 5 stars","-5"
"115",8,"Kyle Monangai",CHI,"RB40","10","","","2 out of 5 stars","-15"
"116",8,"Jake Ferguson",DAL,"TE12","14","","","2 out of 5 stars","-5"
"117",8,"Jordan Mason",MIN,"RB41","6","","","4 out of 5 stars","-13"
"118",8,"Baker Mayfield",TB,"QB18","10","","","2 out of 5 stars","+17"
"119",8,"Dallas Goedert",PHI,"TE13","10","","","4 out of 5 stars","-6"
"120",8,"Jordan Love",GB,"QB19","11","","","4 out of 5 stars","+26"
"121",8,"Isaiah Likely",NYG,"TE14","8","","","3 out of 5 stars","-15"
"122",8,"Khalil Shakir",BUF,"WR48","7","","","4 out of 5 stars","+18"
"123",8,"KC Concepcion",CLE,"WR49","11","","","3 out of 5 stars","+4"
"124",8,"Jalen Coker",CAR,"WR50","5","","","2 out of 5 stars","+21"
"125",8,"Tyler Shough",NO,"QB20","8","","","3 out of 5 stars","+24"
"126",8,"Xavier Worthy",KC,"WR51","5","","","2 out of 5 stars","+4"
"127",8,"Matthew Golden",GB,"WR52","11","","","5 out of 5 stars","-2"
"128",8,"Romeo Doubs",NE,"WR53","11","","","2 out of 5 stars","+5"
"129",8,"Mark Andrews",BAL,"TE15","13","","","4 out of 5 stars","-5"
"130",8,"Jordyn Tyson",NO,"WR54","8","","","3 out of 5 stars","-2"
"131",8,"Malik Willis",MIA,"QB21","6","","","3 out of 5 stars","+36"
"132",9,"Juwan Johnson",NO,"TE16","8","","","2 out of 5 stars","+21"
"133",9,"Woody Marks",HOU,"RB42","8","","","4 out of 5 stars","+3"
"134",9,"Tyjae Spears",TEN,"RB43","9","","","3 out of 5 stars","+9"
"135",9,"Tyler Allgeier",ARI,"RB44","14","","","2 out of 5 stars","+9"
"136",9,"Deebo Samuel Sr.",SF,"WR55","8","","","2 out of 5 stars","-7"
"137",9,"Sam Darnold",SEA,"QB22","11","","","4 out of 5 stars","+48"
"138",9,"Chris Rodriguez Jr.",JAC,"RB45","7","","","4 out of 5 stars","+3"
"139",9,"C.J. Stroud",HOU,"QB23","8","","","4 out of 5 stars","+41"
"140",9,"Dylan Sampson",CLE,"RB46","11","","","3 out of 5 stars","+56"
"141",9,"De'Zhaun Stribling",SF,"WR56","8","","","2 out of 5 stars","-15"
"142",9,"Daniel Jones",IND,"QB24","13","","","4 out of 5 stars","+34"
"143",9,"Denzel Boston",CLE,"WR57","11","","","3 out of 5 stars","+21"
"144",9,"Rashid Shaheed",SEA,"WR58","11","","","3 out of 5 stars","-2"
"145",9,"Keaton Mitchell",LAC,"RB47","7","","","3 out of 5 stars","+14"
"146",9,"Tyrone Tracy Jr.",NYG,"RB48","8","","","4 out of 5 stars","+1"
"147",9,"Zach Charbonnet",SEA,"RB49","11","","","4 out of 5 stars","-10"
"148",9,"Cam Ward",TEN,"QB25","9","","","3 out of 5 stars","+60"
"149",9,"Alvin Kamara",NO,"RB50","8","","","3 out of 5 stars","+1"
"150",9,"Brenton Strange",JAC,"TE17","7","","","3 out of 5 stars","+10"
"151",9,"Chig Okonkwo",WAS,"TE18","7","","","1 out of 5 stars","+28"
"152",9,"Jonah Coleman",DEN,"RB51","10","","","2 out of 5 stars","+16"
"153",9,"Hunter Henry",NE,"TE19","11","","","4 out of 5 stars","+3"
"154",9,"Isiah Pacheco",DET,"RB52","6","","","5 out of 5 stars","0"
"155",9,"Tre Tucker",LV,"WR59","13","","","2 out of 5 stars","+26"
"156",9,"Dalton Schultz",HOU,"TE20","8","","","4 out of 5 stars","+27"
"157",9,"Jerry Jeudy",CLE,"WR60","11","","","3 out of 5 stars","+20"
"158",9,"Adonai Mitchell",NYJ,"WR61","13","","","4 out of 5 stars","+86"
"159",9,"Jauan Jennings",MIN,"WR62","6","","","5 out of 5 stars","+46"
"160",9,"Bryce Young",CAR,"QB26","5","","","2 out of 5 stars","+54"
